Order ID,Product Name,Quantity,Reason
gid://shopify/Order/5349400772741,"East Village Cookbook: Adventures, Anecdotes, and Tales of a Downtown New York Community Told Through Our Food",1,Invalid barcode
gid://shopify/Order/5349431705733,"East Village Cookbook: Adventures, Anecdotes, and Tales of a Downtown New York Community Told Through Our Food",1,Invalid barcode
gid://shopify/Order/5349433311365,OP: Six Grands Cuisiniers de Bourgogne,1,Missing variant
gid://shopify/Order/5349433311365,Bag Fee Imposed by NYS/NYC,1,Invalid barcode
gid://shopify/Order/5349453889669,"East Village Cookbook: Adventures, Anecdotes, and Tales of a Downtown New York Community Told Through Our Food",1,Invalid barcode
gid://shopify/Order/5349456117893,Petits Propos Culinaires 78,1,Invalid barcode
gid://shopify/Order/5349456117893,Magazine F: Tools Issue 20,1,Invalid barcode
gid://shopify/Order/5349456117893,Magazine F: Tea Issue 25,1,Invalid barcode
gid://shopify/Order/5349456117893,Bag Fee Imposed by NYS/NYC,1,Invalid barcode
gid://shopify/Order/5349460934789,"East Village Cookbook: Adventures, Anecdotes, and Tales of a Downtown New York Community Told Through Our Food",1,Invalid barcode
gid://shopify/Order/5349475549317,The Irish Bakery,1,Invalid barcode
gid://shopify/Order/5349475549317,"East Village Cookbook: Adventures, Anecdotes, and Tales of a Downtown New York Community Told Through Our Food",1,Invalid barcode
gid://shopify/Order/5349522833541,"East Village Cookbook: Adventures, Anecdotes, and Tales of a Downtown New York Community Told Through Our Food",2,Invalid barcode
gid://shopify/Order/5349541544069,"East Village Cookbook: Adventures, Anecdotes, and Tales of a Downtown New York Community Told Through Our Food",1,Invalid barcode
gid://shopify/Order/5349572345989,"East Village Cookbook: Adventures, Anecdotes, and Tales of a Downtown New York Community Told Through Our Food",1,Invalid barcode
gid://shopify/Order/5349583814789,"East Village Cookbook: Adventures, Anecdotes, and Tales of a Downtown New York Community Told Through Our Food",1,Invalid barcode
gid://shopify/Order/5349584371845,"East Village Cookbook: Adventures, Anecdotes, and Tales of a Downtown New York Community Told Through Our Food",1,Invalid barcode
gid://shopify/Order/5349626216581,"East Village Cookbook: Adventures, Anecdotes, and Tales of a Downtown New York Community Told Through Our Food",1,Invalid barcode
gid://shopify/Order/5349631950981,"East Village Cookbook: Adventures, Anecdotes, and Tales of a Downtown New York Community Told Through Our Food",1,Invalid barcode
gid://shopify/Order/5349650006149,"East Village Cookbook: Adventures, Anecdotes, and Tales of a Downtown New York Community Told Through Our Food",1,Invalid barcode
gid://shopify/Order/5349660000389,"East Village Cookbook: Adventures, Anecdotes, and Tales of a Downtown New York Community Told Through Our Food",1,Invalid barcode
gid://shopify/Order/5349677990021,"East Village Cookbook: Adventures, Anecdotes, and Tales of a Downtown New York Community Told Through Our Food",1,Invalid barcode
gid://shopify/Order/5349723537541,"East Village Cookbook: Adventures, Anecdotes, and Tales of a Downtown New York Community Told Through Our Food",1,Invalid barcode
gid://shopify/Order/5349760893061,"East Village Cookbook: Adventures, Anecdotes, and Tales of a Downtown New York Community Told Through Our Food",1,Invalid barcode
gid://shopify/Order/5350077399173,"East Village Cookbook: Adventures, Anecdotes, and Tales of a Downtown New York Community Told Through Our Food",1,Invalid barcode
gid://shopify/Order/5350081069189,"East Village Cookbook: Adventures, Anecdotes, and Tales of a Downtown New York Community Told Through Our Food",1,Invalid barcode
gid://shopify/Order/5350135136389,Postcard<<<<<<<<<<<<<<<<<,1,Invalid barcode
gid://shopify/Order/5350135464069,"East Village Cookbook: Adventures, Anecdotes, and Tales of a Downtown New York Community Told Through Our Food",1,Invalid barcode
gid://shopify/Order/5350163579013,Winter 2025 Cookbook Club,1,Invalid barcode
gid://shopify/Order/5350164430981,Bag Fee Imposed by NYS/NYC,1,Invalid barcode
