Order ID,Product Name,Quantity,Reason
gid://shopify/Order/5308894707845,The Irish Bakery,1,Barcode does not start with 978
gid://shopify/Order/5308909060229,"Tacos CDMX, Second Edition",1,Barcode does not start with 978
gid://shopify/Order/5308909060229,Sankaku Vol. 2: Ramen (Collector's Edition),1,Barcode does not start with 978
gid://shopify/Order/5308921708677,Bag Fee Imposed by NYS/NYC,1,Barcode does not start with 978
gid://shopify/Order/5308932292741,Saveur Magazine—Fall/Winter 2024,3,Barcode does not start with 978
gid://shopify/Order/5308942942341,Bag Fee Imposed by NYS/NYC,1,Barcode does not start with 978
gid://shopify/Order/5308968337541,OP: Among Friends (paperback),1,Barcode does not start with 978
gid://shopify/Order/5308968337541,OP: The Penguin Elizabeth David Cookery Book Set (5 vols),1,Barcode does not start with 978
gid://shopify/Order/5308968337541,OP: The Daily Mail Cookery Book,1,Barcode does not start with 978
gid://shopify/Order/5308968337541,Bag Fee Imposed by NYS/NYC,1,Barcode does not start with 978
gid://shopify/Order/5308993831045,From the Hill by the Sea,1,Barcode does not start with 978
gid://shopify/Order/5309023191173,Pasta: The Guide to the Most Loved Italian Food by ItaliaSquisita,1,Barcode does not start with 978
gid://shopify/Order/5309034758277,Winter 2025 Cookbook Club,1,Barcode does not start with 978
gid://shopify/Order/5309060579461,McAtlas: A Global Guide to the Golden Arches (standard edition),2,Barcode does not start with 978
gid://shopify/Order/5309089644677,Bag Fee Imposed by NYS/NYC,1,Barcode does not start with 978
gid://shopify/Order/5309093773445,The Irish Bakery,1,Barcode does not start with 978
gid://shopify/Order/5309113237637,McAtlas: A Global Guide to the Golden Arches (signed special edition),1,Barcode does not start with 978
gid://shopify/Order/5309128016005,McAtlas: A Global Guide to the Golden Arches (standard edition),1,Barcode does not start with 978
gid://shopify/Order/5309179625605,Cookbook Club: Code Noir,1,Barcode does not start with 978
gid://shopify/Order/5309179625605,Cookbook Club: Food of the Italian Islands,1,Barcode does not start with 978
gid://shopify/Order/5309195616389,Read Cook Eat Drink Tote Bag in Strong Canvas,1,Barcode does not start with 978
gid://shopify/Order/5309210361989,Bag Fee Imposed by NYS/NYC,1,Barcode does not start with 978
gid://shopify/Order/5309213245573,The Dry Aging Bible,1,Barcode does not start with 978
gid://shopify/Order/5309242212485,Postcard<<<<<<<<<<<<<<<<<,10,Barcode does not start with 978
gid://shopify/Order/5309242212485,"Food of the Italian Islands: Recipes from the Sun-Baked Beaches, Coastal Villages, and Rolling Hillsides of Sicily, Sardinia, and Beyond",1,Barcode does not start with 978
gid://shopify/Order/5309242212485,Bag Fee Imposed by NYS/NYC,1,Barcode does not start with 978
gid://shopify/Order/5309250011269,Noma in Kyoto,1,Barcode does not start with 978
gid://shopify/Order/5309250011269,Burnt Ends,1,Barcode does not start with 978
gid://shopify/Order/5309261545605,Bag Fee Imposed by NYS/NYC,1,Barcode does not start with 978
gid://shopify/Order/5309262725253,OP: Lombardia in Bocca (Gulliver edition),1,Barcode does not start with 978
gid://shopify/Order/5309268295813,OP: Good cook Eggs and cheese,1,Missing variant
gid://shopify/Order/5309268295813,OP: Good Cook Lamb,1,Missing variant
gid://shopify/Order/5309268295813,OP: Bugiali on Pastas,1,Missing variant
gid://shopify/Order/5309268295813,OP: Classic Techniques of Italian Cooking,1,Missing variant
gid://shopify/Order/5309268295813,The Irish Bakery,1,Barcode does not start with 978
gid://shopify/Order/5309273702533,Bag Fee Imposed by NYS/NYC,1,Barcode does not start with 978
gid://shopify/Order/5309305618565,OP: Eight Immortal Flavors,1,Missing variant
gid://shopify/Order/5309318004869,"All You Need to Know About the British Kitchen: Names, Terms & Measures for the American Cook",1,Barcode does not start with 978
gid://shopify/Order/5309318004869,Postcard<<<<<<<<<<<<<<<<<,1,Barcode does not start with 978
gid://shopify/Order/5309318004869,Card 4.95,1,Barcode does not start with 978
gid://shopify/Order/5309318004869,Bag Fee Imposed by NYS/NYC,1,Barcode does not start with 978
gid://shopify/Order/5309355819141,Bag Fee Imposed by NYS/NYC,1,Barcode does not start with 978
gid://shopify/Order/5309382033541,Calendar: 2025 Molly Reeder Illustrated Calendar,1,Barcode does not start with 978
gid://shopify/Order/5309519724677,Pasta: The Guide to the Most Loved Italian Food by ItaliaSquisita,1,Barcode does not start with 978
gid://shopify/Order/5309522575493,OP: The Basque Book,1,Missing variant
gid://shopify/Order/5309701062789,McAtlas: A Global Guide to the Golden Arches (standard edition),1,Barcode does not start with 978
gid://shopify/Order/5309953671301,Winter 2025 Cookbook Club,1,Barcode does not start with 978
gid://shopify/Order/5309991780485,Kitchen Arts & Letters Gift Card - $200.00,1,Barcode does not start with 978
gid://shopify/Order/5310092771461,Cookbook Holder,1,Barcode does not start with 978
gid://shopify/Order/5310110138501,Bag Fee Imposed by NYS/NYC,1,Barcode does not start with 978
gid://shopify/Order/5310110138501,KAL Postcard,1,Barcode does not start with 978
gid://shopify/Order/5310126784645,The Irish Bakery,1,Barcode does not start with 978
gid://shopify/Order/5310160175237,From the Hill by the Sea,1,Barcode does not start with 978
gid://shopify/Order/5310166728837,"Queer Earth Food Volume 2: A Collection of Writing and Art on Food, the Earth, and Queerness",1,Barcode does not start with 978
gid://shopify/Order/5310213161093,"Tacos CDMX, Second Edition",1,Barcode does not start with 978
gid://shopify/Order/5310287216773,The Irish Bakery,1,Barcode does not start with 978
gid://shopify/Order/5310287216773,Bag Fee Imposed by NYS/NYC,1,Barcode does not start with 978
gid://shopify/Order/5310313496709,Bag Fee Imposed by NYS/NYC,1,Barcode does not start with 978
gid://shopify/Order/5310325325957,The Irish Bakery,1,Barcode does not start with 978
gid://shopify/Order/5310341644421,Kitchen Arts & Letters Gift Card - $100.00,1,Barcode does not start with 978
gid://shopify/Order/5310356095109,Bag Fee Imposed by NYS/NYC,1,Barcode does not start with 978
gid://shopify/Order/5310368252037,OP: Art Culinaire #52,1,Barcode does not start with 978
