Order ID,Product Name,Barcode/ISBN,Quantity,Reason
gid://shopify/Order/5371100364933,The Scarr's Pizza Cookbook: New York-Style Pizza for Everybody,9781984861443,1,Preorder Collection
gid://shopify/Order/5371122385029,Burnt Ends,BRNTNDS,1,Not an ISBN (does not start with 978 or 979)
gid://shopify/Order/5371122385029,OP: Vintage Magazine Ad (B),AD B,1,Not an ISBN (does not start with 978 or 979)
gid://shopify/Order/5371122385029,OP: Vintage Magazine Ad (C),AD C,1,Not an ISBN (does not start with 978 or 979)
gid://shopify/Order/5371124416645,The Scarr's Pizza Cookbook: New York-Style Pizza for Everybody,9781984861443,1,Preorder Collection
gid://shopify/Order/5371124416645,Morgenstern's Finest Ice Cream: A Cookbook,9780593534847,1,Future Pub Date: 2025-06-17
gid://shopify/Order/5371124416645,Fat + Flour: The Art of a Simple Bake,9780593801789,1,Future Pub Date: 2025-04-08
gid://shopify/Order/5371127595141,Sankaku Vol. 2: Ramen (Collector's Edition),Sankaku 2 Collector's ,1,Not an ISBN (does not start with 978 or 979)
gid://shopify/Order/5371137491077,Mise Journal: Mental Mise en Place,Speer,1,Not an ISBN (does not start with 978 or 979)
gid://shopify/Order/5371138310277,Morgenstern's Finest Ice Cream: A Cookbook,9780593534847,1,Future Pub Date: 2025-06-17
gid://shopify/Order/5371139752069,Fat + Flour: The Art of a Simple Bake,9780593801789,1,Future Pub Date: 2025-04-08
gid://shopify/Order/5371139752069,"Sunny Days, Taco Nights",9781838669881,1,Future Pub Date: 2025-06-03
gid://shopify/Order/5371140014213,Fat + Flour: The Art of a Simple Bake,9780593801789,1,Future Pub Date: 2025-04-08
gid://shopify/Order/5371142996101,The Scarr's Pizza Cookbook: New York-Style Pizza for Everybody,9781984861443,1,Preorder Collection
gid://shopify/Order/5371178647685,Seasons of Greens: A Collection of New Recipes from the Iconic San Francisco Restaurant,9798886741438,1,Future Pub Date: 2025-04-22
gid://shopify/Order/5371178647685,Boustany: A Celebration of Vegetables from My Palestine,9781984863188,1,Future Pub Date: 2025-07-15
gid://shopify/Order/5371180875909,"Salt, Sugar, MSG: Recipes and Stories from a Cantonese American Home",9780593582084,1,Future Pub Date: 2025-03-18
gid://shopify/Order/5371180875909,Boustany: A Celebration of Vegetables from My Palestine,9781984863188,1,Future Pub Date: 2025-07-15
gid://shopify/Order/5371188510853,"Arthurs: Home of the Nosh, A Big Personality Cookbook of Delicious Jewish Favorites",9780525612285,1,Future Pub Date: 2025-05-06
gid://shopify/Order/5371262599301,The Scarr's Pizza Cookbook: New York-Style Pizza for Everybody,9781984861443,1,Preorder Collection
gid://shopify/Order/5371262599301,"Sunny Days, Taco Nights",9781838669881,1,Future Pub Date: 2025-06-03
gid://shopify/Order/5371283079301,"Arthurs: Home of the Nosh, A Big Personality Cookbook of Delicious Jewish Favorites",9780525612285,1,Future Pub Date: 2025-05-06
gid://shopify/Order/5371305558149,The Chocolatier's Shop,9789401487832,1,Preorder Collection
gid://shopify/Order/5371305558149,"Arthurs: Home of the Nosh, A Big Personality Cookbook of Delicious Jewish Favorites",9780525612285,1,Future Pub Date: 2025-05-06
gid://shopify/Order/5371305558149,Ghana to the World: Recipes and Stories That Look Forward While Honoring the Past,9780593234778,1,Future Pub Date: 2025-03-11
gid://shopify/Order/5371305558149,Morgenstern's Finest Ice Cream: A Cookbook,9780593534847,1,Future Pub Date: 2025-06-17
gid://shopify/Order/5371305558149,In the Kusina: My Seasonal Filipino Cooking,9781797227849,1,Future Pub Date: 2025-04-08
gid://shopify/Order/5371305558149,"Kwéyòl/Creole: Recipes, Stories, and Tings from a St. Lucian Chef's Journey",9780593578971,1,Future Pub Date: 2025-04-01
gid://shopify/Order/5371316306053,In the Kusina: My Seasonal Filipino Cooking,9781797227849,1,Future Pub Date: 2025-04-08
gid://shopify/Order/5371316306053,Boustany: A Celebration of Vegetables from My Palestine,9781984863188,1,Future Pub Date: 2025-07-15
gid://shopify/Order/5371321188485,Fat + Flour: The Art of a Simple Bake,9780593801789,1,Future Pub Date: 2025-04-08
